"Октябрьский район
(Акцябрскі раён)",AK
"Мстиславский
(Мсціслаўскі)",AM
"Осиповичский
(Асіповіцкі)",AP
"Ошмянский
(Ашмянскі)",AS
"Островецкий
(Астравецкі)",AT
"Борисовский
(Барысаўскі)",BA
"Бобруйский
(Бабруйскі)",BB
"Березинский
(Бярэзінскі)",BE
"Брагинский район
(Брагінскі раён)",BH
"Буда-Кошелёвский район
(Буда-Кашалёўскі раён)",BK
"Белыничский
(Бялыніцкі)",BL
"Барановичский
(бел. Баранавіцкі)",BN
"Брестский
(бел. Брэсцкі)",BR
"Бешенковичский
(Бешанковіцкі)",BS
"Берестовицкий
(Бераставіцкі раён)",BT
"Браславский
(Браслаўскі)",BU
"Быховский
(Быхаўскі)",BY
"Берёзовский
(бел. Бярозаўскі)",BZ
"Чаусский
(Чавускі)",CA
"Чечерский район
(Чачэрскі раён)",CC
"Червенский
(Чэрвеньскі)",CE
"Хойникский район
(Хойніцкі раён)",CH
"Хотимский
(Хоцімскі)",CM
"Чериковский
(Чэрыкаўскі)",CR
"Чашникский
(Чашніцкі)",CS
"Дрибинский
(Дрыбінскі)",DB
"Докшицкий
(Докшыцкі)",DK
"Дрогичинский
(бел. Драгічынскі)",DR
"Добрушский район
(Добрушскі раён)",DS
"Дятловский
(Дзятлаўскі)",DT
"Дубровенский
(Дубровенскі)",DU
"Дзержинский
(Дзяржынскі)",DZ
"Ганцевичский
(бел. Ганцавіцкі)",HA
"Глубокский
(Глыбоцкі)",HB
"Горецкий
(Горацкi)",HC
"Городокский
(Гарадокскі)",HD
"Глусский
(Глускі)",HL
"Гомельский район
(Гомельскі раён)",HO
"Гродненский
(Гродзенскі)",HR
"Ивьевский
(Іўеўскі)",IU
"Ивацевичский
(бел. Івацэвіцкі)",IV
"Ивановский
(бел. Іванаўскі)",JA
"Ельский район
(Ельскі раён)",JE
"Калинковичский район
(Калінкавіцкі раён)",KA
"Кобринский
(бел. Кобрынскі)",KB
"Кореличский
(Карэліцкі)",KC
"Каменецкий
(бел. Камянецкі)",KE
"Кировский
(Кіраўскі)",KI
"Крупский
(Крупскі)",KK
"Клецкий
(Клецкі)",KL
"Кормянский район
(Кармянскі раён)",KM
"Копыльский
(Капыльскі)",KO
"Краснопольский
(Краснапольскі)",KP
"Кричевский
(Крычаўскі)",KR
"Костюковичский
(Касцюковіцкі)",KS
"Круглянский
(Круглянскі)",KU
"Кличевский
(Клічаўскі)",KV
"Климовичский
(Клімавіцкі)",KY
"Логойский
(Лагойскі)",LA
"Любанский
(Любанскі)",LB
"Ляховичский
(бел. Ляхавіцкі)",LC
"Лидский
(Лідскі)",LI
"Лельчицкий район
(Лельчыцкі раён)",LL
"Лоевский район
(Лоеўскі раён)",LO
"Лепельский
(Лепельскі)",LP
"Лунинецкий
(бел. Лунінецкі)",LU
"Лиозненский
(Лёзненскі)",LZ
"Молодечненский
(Маладзечанскі)",MA
"Мядельский
(Мядзельскі)",MD
"Минский
(Мінскі)",MI
"Могилёвский
(Магілёўскі)",ML
"Миорский
(Міёрскі)",MO
"Малоритский
(бел. Маларыцкі)",MR
"Мостовский
(Мастоўскі)",MS
"Мозырский район
(Мазырскі раён)",MZ
"Наровлянский район
(Нараўлянскі раён)",NA
"Новогрудский
(Навагрудскі)",NH
"Несвижский
(Нясвіжскі)",NS
"Оршанский
(Аршанскі)",OR
"Петриковский район
(Петрыкаўскі раён)",PE
"Пинский
(бел. Пінскі)",PI
"Полоцкий
(Полацкі)",PO
"Поставский
(Пастаўскі)",PS
"Пуховичский
(Пухавіцкі)",PU
"Пружанский
(бел. Пружанскі)",PZ
"Рогачёвский район
(Рагачоўскі раён)",RA
"Речицкий район
(Рэчыцкі раён)",RE
"Россонский
(Расонскі)",RS
"Солигорский
(Салігорскі)",SA
"Столбцовский
(Стаўбцоўскі)",SB
"Щучинский
(Шчучынскі)",SC
"Славгородский
(Слаўгарадскі)",SD
"Сенненский
(Сенненскі)",SE
"Светлогорский район
(Светлагорскі раён)",SH
"Шкловский
(Шклоўскі)",SK
"Слуцкий
(Слуцкі)",SL
"Сморгонский
(Смаргонскі)",SM
"Слонимский
(Слонімскі)",SN
"Столинский
(бел. Столінскі)",SO
"Шарковщинский
(Шаркоўшчынскі)",SR
"Стародорожский
(Старадарожскі)",ST
"Шумилинский
(Шумілінскі)",SU
"Свислочский
(Свіслацкі)",SV
"Толочинский
(Талачынскі)",TL
"Ушачский
(Ушацкі)",US
"Узденский
(Уздзенскі)",UZ
"Витебский
(Віцебскі)",VC
"Верхнедвинский
(Верхнядзвінскі)",VD
"Вилейский
(Вілейскі)",VL
"Вороновский
(Воранаўскі)",VO
"Ветковский район
(Веткаўскі раён)",VT
"Волковысский
(Ваўкавыскі)",VV
"Воложинский
(Валожынскі)",VZ
"Жабинковский
(бел. Жабінкаўскі)",ZA
"Зельвенский
(Зэльвенскі)",ZE
"Жлобинский район
(Жлобінскі раён)",ZL
"Жодино
(Жодзіна)",ZO
"Житковичский район
(Жыткавіцкі раён)",ZY
