"Мстиславский
(Мсціслаўскі)",AM,Amścislaŭ,Amścislaŭski
"Осиповичский
(Асіповіцкі)",AP,Asipovičy,Asipovicki
"Ошмянский
(Ашмянскі)",AS,Ašmiany,Ašmianski
"Островецкий
(Астравецкі)",AT,Astraviec,Astraviecki
"Борисовский
(Барысаўскі)",BA,Barysaŭ,Barysaŭski
"Бобруйский
(Бабруйскі)",BB,Babrujsk,Babrujski
"Березинский
(Бярэзінскі)",BE,Biarezina,Biarezinski
"Брагинский район
(Брагінскі раён)",BH,Brahin,Brahinski
"Буда-Кошелёвский район
(Буда-Кашалёўскі раён)",BK,Buda-Kašalova,Buda-Kašaloŭski
"Белыничский
(Бялыніцкі)",BL,Białyničy,Białynicki
"Барановичский
(бел. Баранавіцкі)",BN,Baranavičy,Baranavicki
"Брестский
(бел. Брэсцкі)",BR,Brest,Brescki
"Бешенковичский
(Бешанковіцкі)",BS,Biešankovičy,Biešankovicki
"Берестовицкий
(Бераставіцкі раён)",BT,Vialikaja Bierastavica,Bierastavicki
"Браславский
(Браслаўскі)",BU,Braslaŭ,Braslaŭski
"Быховский
(Быхаўскі)",BY,Byhaŭ,Byhaŭski
"Берёзовский
(бел. Бярозаўскі)",BZ,Biaroza,Biarozaŭski
"Чаусский
(Чавускі)",CA,Čavusy,Čavuski
"Чечерский район
(Чачэрскі раён)",CC,Čačersk,Čačerski
"Червенский
(Чэрвеньскі)",CE,Červień,Červieński
"Хойникский район
(Хойніцкі раён)",CH,Chojniki,Chojnicki
"Хотимский
(Хоцімскі)",CM,Chocimsk,Chocimski
"Чериковский
(Чэрыкаўскі)",CR,Čerykaŭ,Čerykaŭski
"Чашникский
(Чашніцкі)",CS,Čašniki,Čašnicki
"Дрибинский
(Дрыбінскі)",DB,Drybin,Drybinski
"Докшицкий
(Докшыцкі)",DK,Dokšycy,Dokšycki
"Дрогичинский
(бел. Драгічынскі)",DR,Drahičyn,Drahičynski
"Добрушский район
(Добрушскі раён)",DS,Dobruš,Dobrušski
"Дятловский
(Дзятлаўскі)",DT,Dziatłava,Dziatłaŭski
"Дубровенский
(Дубровенскі)",DU,Dubroŭna,Dubrovenski
"Дзержинский
(Дзяржынскі)",DZ,Dziaržynsk,Dziaržynski
"Ганцевичский
(бел. Ганцавіцкі)",HA,Hancavičy,Hancavicki
"Глубокский
(Глыбоцкі)",HB,Hlybokaje,Hlybocki
"Горецкий
(Горацкi)",HC,Horki,Horacki
"Городокский
(Гарадокскі)",HD,Haradok,Haradocki
"Глусский
(Глускі)",HL,Hlusk,Hluski
"Гомельский район
(Гомельскі раён)",HO,Homiel,Homielski
"Гродненский
(Гродзенскі)",HR,Hrodna,Hrodzienski
"Ивьевский
(Іўеўскі)",IU,Iŭje,Iŭjeŭski
"Ивацевичский
(бел. Івацэвіцкі)",IV,Ivacevičy,Ivacevicki
"Ивановский
(бел. Іванаўскі)",JA,Janaŭ,Janaŭski
"Ельский район
(Ельскі раён)",JE,Jelsk,Jelski
"Копыльский
(Капыльскі)",KA,Kapyl,Kapylski
"Кобринский
(бел. Кобрынскі)",KB,Kobryn,Kobrynski
"Кореличский
(Карэліцкі)",KC,Kareličy,Karelicki
"Каменецкий
(бел. Камянецкі)",KE,Kamieniec,Kamianiecki
"Круглянский
(Круглянскі)",KH,Kruhlaje,Kruhlanski
"Кировский
(Кіраўскі)",KI,Kiraŭ,Kiraŭski
"Крупский
(Крупскі)",KK,Krupki,Krupski
"Клецкий
(Клецкі)",KL,Kleck,Klecki
"Кормянский район
(Кармянскі раён)",KM,Karma,Karmianski
"Калинковичский район
(Калінкавіцкі раён)",KN,Kalinkavičy,Kalinkavicki
"Краснопольский
(Краснапольскі)",KP,Krasnapolle,Krasnapolski
"Кричевский
(Крычаўскі)",KR,Kryčaŭ,Kryčaŭski
"Костюковичский
(Касцюковіцкі)",KS,Kaściukovičy,Kaściukovicki
"Кличевский
(Клічаўскі)",KV,Kličaŭ,Kličaŭski
"Климовичский
(Клімавіцкі)",KY,Klimavičy,Klimavicki
"Логойский
(Лагойскі)",LA,Lahojsk,Lahojski
"Любанский
(Любанскі)",LB,Lubań,Lubanski
"Ляховичский
(бел. Ляхавіцкі)",LC,Lachavičy,Lachavicki
"Лидский
(Лідскі)",LI,Lida,Lidski
"Лельчицкий район
(Лельчыцкі раён)",LL,Lelčycy,Lelčycki
"Лоевский район
(Лоеўскі раён)",LO,Łoeŭ,Łoeŭski
"Лепельский
(Лепельскі)",LP,Lepel,Lepelski
"Лунинецкий
(бел. Лунінецкі)",LU,Łuniniec,Łuniniecki
"Лиозненский
(Лёзненскі)",LZ,Lozna,Loznienski
"Молодечненский
(Маладзечанскі)",MA,Maladziečna,Maladziečanski
"Мядельский
(Мядзельскі)",MD,Miadzeł,Miadzelski
"Минский
(Мінскі)",MI,Minsk,Minski
"Могилёвский
(Магілёўскі)",ML,Mahiloŭ,Mahiloŭski
"Миорский
(Міёрскі)",MO,Miory,Miorski
"Малоритский
(бел. Маларыцкі)",MR,Malaryta,Malarycki
"Мостовский
(Мастоўскі)",MS,Masty,Mastoŭski
"Мозырский район
(Мазырскі раён)",MZ,Mazyr,Mazyrski
"Наровлянский район
(Нараўлянскі раён)",NA,Naroŭla,Naraŭlanski
"Новогрудский
(Навагрудскі)",NH,Navahradak,Navahradski
"Несвижский
(Нясвіжскі)",NS,Niaśviž,Niaśvižski
"Оршанский
(Аршанскі)",OR,Orša,Aršanski
"Петриковский район
(Петрыкаўскі раён)",PE,Pietrykaŭ,Pietrykaŭski
"Пинский
(бел. Пінскі)",PI,Pinsk,Pinski
"Полоцкий
(Полацкі)",PO,Połack,Połacki
"Поставский
(Пастаўскі)",PS,Pastavy,Pastaŭski
"Пуховичский
(Пухавіцкі)",PU,Marjina Horka,Puchavicki
"Пружанский
(бел. Пружанскі)",PZ,Pružany,Pružanski
"Рогачёвский район
(Рагачоўскі раён)",RA,Rahačoŭ,Rahačoŭski
"Октябрьский район
(Акцябрскі раён)",RB,Rudabiełka,Rudabielski
"Речицкий район
(Рэчыцкі раён)",RE,Rečyca,Rečycki
"Россонский
(Расонскі)",RS,Rasony,Rasonski
"Солигорский
(Салігорскі)",SA,Salihorsk,Salihorski
"Столбцовский
(Стаўбцоўскі)",SB,Stoŭbcy,Staŭbcoŭski
"Щучинский
(Шчучынскі)",SC,Ščučyn,Ščučynski
"Славгородский
(Слаўгарадскі)",SD,Słaŭharad,Słaŭharadski
"Светлогорский район
(Светлагорскі раён)",SH,Śvietłahorsk,Śvietłahorski
"Сенненский
(Сенненскі)",SI,Sianno,Siennenski
"Шкловский
(Шклоўскі)",SK,Škłoŭ,Škłoŭski
"Слуцкий
(Слуцкі)",SL,Słuck,Słucki
"Сморгонский
(Смаргонскі)",SM,Smarhoń,Smarhonski
"Слонимский
(Слонімскі)",SN,Słonim,Słonimski
"Столинский
(бел. Столінскі)",SO,Stolin,Stolinski
"Шарковщинский
(Шаркоўшчынскі)",SR,Šarkaŭščyna,Šarkaŭščynski
"Стародорожский
(Старадарожскі)",ST,Staryja Darohi,Staradarožski
"Шумилинский
(Шумілінскі)",SU,Šumlilina,Šumilinski
"Свислочский
(Свіслацкі)",SV,Śvislač,Śvislacki
"Толочинский
(Талачынскі)",TL,Tałačyn,Tałačynski
"Ушачский
(Ушацкі)",US,Ušačy,Ušacki
"Узденский
(Уздзенскі)",UZ,Uzda,Uzdzenski
"Витебский
(Віцебскі)",VC,Viciebsk,Viciebski
"Верхнедвинский
(Верхнядзвінскі)",VD,Vierchniadźvinsk,Vierchniadźvinski
"Вилейский
(Вілейскі)",VL,Vilejka,Vilejski
"Вороновский
(Воранаўскі)",VO,Voranava,Voranaŭski
"Ветковский район
(Веткаўскі раён)",VT,Vietka,Vietkaŭski
"Волковысский
(Ваўкавыскі)",VV,Vaŭkavysk,Vaŭkavyski
"Воложинский
(Валожынскі)",VZ,Vałožyn,Vałožynski
"Жабинковский
(бел. Жабінкаўскі)",ZA,Žabinka,Žabinkaŭski
"Зельвенский
(Зэльвенскі)",ZE,Zelva,Zelvienski
"Жлобинский район
(Жлобінскі раён)",ZL,Žłobin,Žłobinski
"Жодино
(Жодзіна)",ZO,Žodzina,Smalavicki
"Житковичский район
(Жыткавіцкі раён)",ZY,Žytkavičy,Žytkavicki
